Movie Name,Release Period,Whether Remake,Whether Franchise,Genre,New Actor,New Director,New Music Director,Lead Star,Director,Music Director,Number of Screens,Budget(INR),Revenue(INR),ProfitFactor,Year,Duration,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Welcome,Holiday,No,No,comedy,No,No,No,Akshay Kumar,Anees Bazmee,Sajid - Wajid,1250,480000000,1194975000,2.48953125,2007,159,6.9,19527,Anees Bazmee,Akshay Kumar,Katrina Kaif,Nana Patekar
Housefull,Holiday,No,No,comedy,No,No,No,Akshay Kumar,Sajid Khan,Shankar - Ehsaan - Loy,1700,470000000,1163035000,2.474542553,2010,144,5.5,13169,Sajid Khan,Akshay Kumar,Deepika Padukone,Riteish Deshmukh
Bajirao Mastani,Normal,No,No,drama,No,No,No,Ranveer Singh,Sanjay Leela Bhansali,Sanjay Leela Bhansali,2700,1450000000,3562025000,2.456568966,2015,158,7.2,32073,Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Priyanka Chopra Jonas
Ragini MMS,Normal,No,No,horror,No,Yes,No,Rajkummar Rao,Pawan Kirpalani,Agnel Roman,650,60000000,146800000,2.446666667,2011,93,4.9,2489,Pawan Kripalani,Kainaz Motivala,Rajkummar Rao,Rajat Kaul
Talaash,Normal,No,No,thriller,No,No,No,Aamir Khan,Reema Kagti,Ram Sampath,2550,710000000,1729717500,2.436221831,2012,140,7.2,40234,Reema Kagti,Priyamvada Narayanan,Aamir Khan,Kareena Kapoor
Once Upon A Time In Mumbaai,Normal,No,No,drama,No,No,No,Ajay Devgn,Milan Luthria,Pritam,1400,350000000,851780000,2.433657143,2010,134,7.4,16677,Milan Luthria,Ajay Devgn,Emraan Hashmi,Kangana Ranaut
Double Dhamaal,Normal,No,Yes,comedy,No,No,No,Sanjay Dutt,Indra Kumar,Anand Raj Anand,1800,290000000,705450000,2.432586207,2011,138,3.8,3642,Indra Kumar,Sanjay Dutt,Riteish Deshmukh,Arshad Warsi
Ferrari Ki Sawaari,Normal,No,No,drama,No,Yes,No,Sharman Joshi,Rajesh Mapuskar,Pritam,875,200000000,484500000,2.4225,2012,140,6.4,5138,Rajesh Mapuskar,Sharman Joshi,Boman Irani,Ritvik Sahore
Bol Bachchan,Normal,No,No,comedy,No,No,No,Ajay Devgn,Rohit Shetty,Ajay - Atul,2500,660000000,1596640000,2.419151515,2012,155,5.5,8367,Rohit Shetty,Amitabh Bachchan,Abhishek Bachchan,Ajay Devgn
No One Killed Jessica,Normal,No,No,thriller,No,No,No,Vidya Balan,Raj Kumar Gupta,Amit Trivedi,950,190000000,457235000,2.4065,2011,136,7.2,11199,Raj Kumar Gupta,Rani Mukerji,Vidya Balan,Myra Karn
Kai Po Che,Holiday,No,No,drama,Yes,No,No,Sushant Singh Rajput,Abhishek Kapoor,Amit Trivedi,900,300000000,721620000,2.4054,2013,120,7.8,34048,Abhishek Kapoor,Amit Sadh,Sushant Singh Rajput,Rajkummar Rao
Hasee Toh Phasee,Normal,No,No,rom__com,No,Yes,No,Sidharth Malhotra,Vinil Mathew,Vishal - Shekhar,1300,260000000,617420000,2.374692308,2014,141,6.8,13936,Vinil Mathew,Sidharth Malhotra,Parineeti Chopra,Adah Sharma
Cocktail,Normal,No,No,rom__com,No,No,No,Saif Ali Khan,Homi Adajania,Pritam,1600,530000000,1252347500,2.362919811,2012,146,6.3,13486,Homi Adajania,Saif Ali Khan,Deepika Padukone,Diana Penty
Gunday,Holiday,No,No,masala,No,No,No,Ranveer Singh,Ali Abbas Zafar,Sohail Sen,2700,510000000,1198220000,2.34945098,2014,152,2.4,58144,Ali Abbas Zafar,Ranveer Singh,Arjun Kapoor,Priyanka Chopra Jonas
Ae Dil Hai Mushkil,Holiday,No,No,love_story,No,No,Yes,Ranbir Kapoor,Karan Johar,Pritam,2850,980000000,2295622500,2.342471939,2016,158,5.8,21661,Karan Johar,Ranbir Kapoor,Aishwarya Rai Bachchan,Anushka Sharma
Heyy Babyy,Holiday,Yes,No,comedy,No,Yes,No,Akshay Kumar,Sajid Khan,Shankar - Ehsaan - Loy,1000,360000000,839390000,2.331638889,2007,144,6,13705,Sajid Khan,Akshay Kumar,Fardeen Khan,Riteish Deshmukh
Paa,Normal,No,No,drama,No,No,No,Amitabh Bachchan,R. Balki,Ilaiyaraja,600,210000000,489325000,2.330119048,2009,133,7.2,11492,R. Balki,Amitabh Bachchan,Abhishek Bachchan,Vidya Balan
Aksar,Normal,No,No,thriller,No,No,No,Emraan Hashmi,Anant Mahadevan,Himesh Reshammiya,325,52500000,121800000,2.32,2006,135,4.8,1152,Ananth Narayan Mahadevan,Emraan Hashmi,Udita Goswami,Dino Morea
Paheli,Normal,No,No,drama,No,No,No,Shahrukh Khan,Amol Palekar,M.M. Kreem,350,140000000,324535000,2.318107143,2005,140,6.5,12727,Amol Palekar,Shah Rukh Khan,Rani Mukerji,Anupam Kher
Traffic Signal,Holiday,No,No,drama,No,No,No,Kunal Khemu,Madhur Bhandarkar,Shamir Tandon,325,52500000,121120000,2.307047619,2007,130,6.5,1544,Madhur Bhandarkar,Kunal Khemu,Neetu Chandra,Upendra Limaye
Ta Ra Rum Pum,Normal,No,No,drama,No,No,No,Saif Ali Khan,Siddharth Anand,Vishal - Shekhar,725,300000000,691450000,2.304833333,2007,153,5.6,4409,Siddharth Anand,Saif Ali Khan,Rani Mukerji,Javed Jaffrey
Namastey London,Normal,No,No,love_story,No,No,No,Akshay Kumar,Vipul Amrutlal Shah,Himesh Reshammiya,775,310000000,714102500,2.303556452,2007,128,7.1,20942,Vipul Amrutlal Shah,Akshay Kumar,Katrina Kaif,Rishi Kapoor
Golmaal Returns,Holiday,No,Yes,comedy,No,No,Yes,Ajay Devgn,Rohit Shetty,Ashish Pandit,1250,350000000,800080000,2.285942857,2008,135,5.1,7236,Rohit Shetty,Ajay Devgn,Kareena Kapoor,Arshad Warsi
Happy New Year,Holiday,No,No,masala,No,No,No,Shahrukh Khan,Farah Khan,Vishal - Shekhar,3850,1500000000,3427610000,2.285073333,2014,180,5,34890,Farah Khan,Shah Rukh Khan,Deepika Padukone,Abhishek Bachchan
My Name Is Khan,Holiday,No,No,drama,No,No,No,Shahrukh Khan,Karan Johar,Shankar - Ehsaan - Loy,1650,850000000,1931450000,2.272294118,2010,165,8,101014,Karan Johar,Shah Rukh Khan,Kajol,Sheetal Menon
Mary Kom,Holiday,No,No,drama,No,Yes,Yes,Priyanka Chopra,Omung Kumar,Shashi Suman,1900,380000000,861917500,2.268203947,2014,122,6.8,10089,Omung Kumar,Priyanka Chopra Jonas,Sunil Thapa,Robin Das
Ajab Prem Ki Ghazab Kahani,Normal,No,No,comedy,No,No,No,Ranbir Kapoor,Rajkumar Santoshi,Pritam,1300,440000000,997375000,2.266761364,2009,150,6.4,13194,Rajkumar Santoshi,Ranbir Kapoor,Katrina Kaif,Darshan Jariwala
Dilwale,Normal,No,No,masala,No,No,No,Shahrukh Khan,Rohit Shetty,Pritam,3150,1650000000,3722315000,2.255948485,2015,158,5.1,32366,Rohit Shetty,Shah Rukh Khan,Kajol,Varun Dhawan
Ek Main Aur Ekk Tu,Normal,No,No,love_story,No,Yes,No,Kareena Kapoor,Shakun Batra,Amit Trivedi,1250,320000000,721100000,2.2534375,2012,110,5.7,6485,Shakun Batra,Kareena Kapoor,Imran Khan,Zenobia Shroff
Race,Holiday,No,No,thriller,No,No,No,Saif Ali Khan,Abbas - Mustan,Pritam,1300,460000000,1034500000,2.248913043,2008,149,6.7,13516,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Saif Ali Khan,Akshaye Khanna
Corporate,Normal,No,No,drama,No,No,No,Bipasha Basu,Madhur Bhandarkar,Shamir Tandon,250,67500000,150560000,2.230518519,2006,142,6.5,1957,Madhur Bhandarkar,Bipasha Basu,Kay Kay Menon,Raj Babbar
Band Baaja Baaraat,Normal,No,No,rom__com,Yes,Yes,No,Ranveer Singh,Maneesh Sharma,Salim - Sulaiman,675,150000000,333000000,2.22,2010,139,7.2,15583,Maneesh Sharma,Ranveer Singh,Anushka Sharma,Ranjit Batra
Zeher,Holiday,Yes,No,thriller,No,Yes,No,Emraan Hashmi,Mohit Suri,Roop Kumar Rathod,275,50000000,110631250,2.212625,2005,132,5.4,1937,Mohit Suri,Emraan Hashmi,Shamita Shetty,Udita Goswami
Tees Maar Khan,Holiday,No,No,comedy,No,No,No,Akshay Kumar,Farah Khan,Vishal - Shekhar,2200,450000000,995145000,2.211433333,2010,135,2.6,11981,Farah Khan,Akshay Kumar,Katrina Kaif,Akshaye Khanna
Sarkar Raj,Normal,No,Yes,action,No,No,No,Amitabh Bachchan,Ram Gopal Verma,Bappi - Tutal,1100,270000000,595535000,2.205685185,2008,125,6.7,7295,Ram Gopal Varma,Amitabh Bachchan,Abhishek Bachchan,Aishwarya Rai Bachchan
Khoobsurat,Normal,No,No,rom__com,Yes,No,No,Fawad Khan,Shashanka Ghosh,Sneha Khanwalkar,1150,230000000,506715000,2.203108696,2014,130,6.4,7877,Shashanka Ghosh,Sonam Kapoor,Fawad Khan,Ratna Pathak Shah
Jolly LLB 2,Holiday,No,Yes,comedy,No,No,Yes,Akshay Kumar,Subhash Kapoor,Manj Musik,3300,830000000,1827342500,2.20161747,2017,137,7.2,23030,Subhash Kapoor,Akshay Kumar,Huma Qureshi,Saurabh Shukla
Golmaal Again,Holiday,No,Yes,comedy,No,No,Yes,Ajay Devgn,Rohit Shetty,DJ Chetas,3300,1420000000,3110450000,2.190457746,2017,140,5,8423,Rohit Shetty,Ajay Devgn,Arshad Warsi,Tabu
Tere Naal Love Ho Gaya,Normal,No,No,rom__com,No,Yes,No,Riteish Deshmukh,Mandeep Kumar,Sachin - Jigar,1200,140000000,306262500,2.187589286,2012,130,5.8,4120,Mandeep Kumar,Riteish Deshmukh,Genelia D'Souza,Om Puri
Apna Sapna Money Money,Normal,No,No,comedy,No,No,No,Riteish Deshmukh,Sangeeth Sivan,Pritam,450,95000000,207325000,2.182368421,2006,134,5.3,1921,Sangeeth Sivan,Riteish Deshmukh,Shreyas Talpade,Riya Sen
Raees,Holiday,No,No,action,No,No,No,Shahrukh Khan,Rahul Dholakia,Ram Sampath,3400,1270000000,2725200000,2.145826772,2017,143,6.8,41441,Rahul Dholakia,Raj Arjun,Shubham Chintamani,Shubham Tukaram
Love Aaj Kal,Normal,No,No,rom__com,No,No,No,Saif Ali Khan,Imtiaz Ali,Pritam,1350,560000000,1195175000,2.134241071,2020,142,4.7,6994,Imtiaz Ali,Kartik Aaryan,Sara Ali Khan,Randeep Hooda
Chup Chup Ke,Normal,No,No,comedy,No,No,No,Shahid Kapoor,Priyadarshan,Himesh Reshammiya,350,120000000,255800000,2.131666667,2006,164,6.8,9171,Priyadarshan,Kookie Gulati,Shahid Kapoor,Kareena Kapoor
Bhagam Bhag,Holiday,No,No,comedy,No,No,No,Akshay Kumar,Priyadarshan,Pritam,750,320000000,678252500,2.119539063,2006,157,6.5,11651,Priyadarshan,Akshay Kumar,Govinda,Paresh Rawal
Apaharan,Normal,No,No,action,No,No,No,Ajay Devgn,Prakash Jha,Aadesh Shrivastava,425,110000000,231650000,2.105909091,2005,173,7.4,4384,Prakash Jha,Ajay Devgn,Nana Patekar,Bipasha Basu
Wazir,Normal,No,No,thriller,No,No,Yes,Farhan Akhtar,Bejoy Nambiar,Gaurav Godkhindi,1550,360000000,757515000,2.104208333,2016,103,7.1,17809,Bejoy Nambiar,Amitabh Bachchan,Farhan Akhtar,Aditi Rao Hydari
Rocket Singh: Salesman Of The Year,Normal,No,No,drama,No,No,No,Ranbir Kapoor,Shimit Amin,Salim - Sulaiman,800,160000000,336577500,2.103609375,2009,150,7.5,19343,Shimit Amin,Ranbir Kapoor,Prem Chopra,Mukesh S. Bhatt
Table No. 21,Normal,No,No,thriller,No,Yes,Yes,Rajeev Khandelwal,Aditya Datt,Gajendra Verma,850,85000000,177950000,2.093529412,2013,108,7.2,11709,Aditya Datt,Paresh Rawal,Rajeev Khandelwal,Tina Desai
Special 26,Normal,No,No,thriller,No,No,No,Akshay Kumar,Neeraj Pandey,M.M. Kreem,1600,500000000,1036240000,2.07248,2013,144,8,52354,Neeraj Pandey,Akshay Kumar,Anupam Kher,Manoj Bajpayee
1920,Holiday,No,No,horror,Yes,No,No,Rajneesh Duggal,Vikram Bhatt,Adnan Sami,525,70000000,145000000,2.071428571,2008,138,6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh
Hate Story 2,Normal,No,Yes,thriller,Yes,No,Yes,Surveen Chawla,Vishal Pandya,Arko Pravo Mukherjee,1800,150000000,310700000,2.071333333,2014,130,4.4,2087,Vishal Pandya,Jay Bhanushali,Surveen Chawla,Sushant Singh
Singham Returns,Holiday,No,Yes,action,No,No,No,Ajay Devgn,Rohit Shetty,Honey Singh,3500,1050000000,2165697500,2.062569048,2014,142,5.7,7675,Rohit Shetty,Ajay Devgn,Kareena Kapoor,Amole Gupte
Viruddh... Family Comes First,Normal,No,No,drama,No,No,No,Amitabh Bachchan,Mahesh Manjrekar,Ajay - Atul,260,90000000,185125000,2.056944444,2005,132,7.1,2050,Mahesh Manjrekar,Amitabh Bachchan,Sharmila Tagore,John Abraham
Prem Ratan Dhan Payo,Holiday,No,No,drama,No,No,No,Salman Khan,Sooraj Barjatya,Himesh Reshammiya,4200,1800000000,3654575000,2.030319444,2015,164,4.4,19913,Sooraj R. Barjatya,Salman Khan,Sonam Kapoor,Neil Nitin Mukesh
Go Goa Gone,Normal,No,No,comedy,No,Yes,No,Saif Ali Khan,Raj Nidimoru,Sachin - Jigar,1100,190000000,384250000,2.022368421,2013,111,6.7,11942,Krishna D.K.,Raj Nidimoru,Saif Ali Khan,Kunal Khemu
Son Of Sardaar,Holiday,Yes,No,masala,No,No,No,Ajay Devgn,Ashwini Dhir,Himesh Reshammiya,2000,670000000,1351247500,2.016787313,2012,141,4,9060,Ashwani Dhir,Anil Devgan,Ajay Devgn,Sanjay Dutt
Housefull 3,Normal,No,Yes,comedy,No,No,No,Akshay Kumar,Farhad - Sajid,Mika Singh,3650,970000000,1949350000,2.009639175,2016,140,5,8653,Sajid,Farhad Samji,Akshay Kumar,Abhishek Bachchan
36 China Town,Holiday,Yes,No,suspense,No,No,No,Akshaye Khanna,Abbas - Mustan,Himesh Reshammiya,450,190000000,379200000,1.995789474,2006,140,5.7,4373,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor
Atithi Tum Kab Jaoge?,Normal,No,No,comedy,No,No,No,Ajay Devgn,Ashwini Dhir,Pritam,1050,220000000,433110000,1.968681818,2010,155,6.4,5383,Ashwani Dhir,Ajay Devgn,Konkona Sen Sharma,Paresh Rawal
Fashion,Holiday,No,No,drama,No,No,No,Priyanka Chopra,Madhur Bhandarkar,Salim - Sulaiman,750,200000000,392945000,1.964725,2008,167,6.9,11918,Madhur Bhandarkar,Priyanka Chopra Jonas,Kangana Ranaut,Mugdha Godse
Apne,Normal,No,No,drama,No,No,No,Sunny Deol,Anil Sharma,Himesh Reshammiya,625,200000000,392825000,1.964125,2007,173,6,2868,Anil Sharma,Dharmendra,Sunny Deol,Bobby Deol
Jodhaa Akbar,Normal,No,No,love_story,No,No,No,Hrithik Roshan,Ashutosh Gowariker,A.R. Rehman,1000,550000000,1077817500,1.959668182,2008,213,7.6,30717,Ashutosh Gowariker,Hrithik Roshan,Aishwarya Rai Bachchan,Sonu Sood
Happy Bhaag Jayegi,Normal,No,No,rom__com,No,No,No,Abhay Deol,Mudassar Aziz,Sohail Sen,1000,200000000,391500000,1.9575,2016,126,6.5,5046,Mudassar Aziz,Diana Penty,Abhay Deol,Jimmy Sheirgill
Barsaat,Holiday,No,No,love_story,No,No,No,Bobby Deol,Suneel Darshan,Nadeem - Shravan,375,100000000,195600000,1.956,1995,166,5.4,1193,Rajkumar Santoshi,Bobby Deol,Twinkle Khanna,Raj Babbar
One Two Three,Normal,No,No,comedy,No,Yes,No,Suneil Shetty,Ashwini Dhir,Raghav Sachar,575,140000000,273600000,1.954285714,2008,135,5.3,2511,Ashwani Dhir,Tusshar Kapoor,Sunil Shetty,Paresh Rawal
Honeymoon Travels Pvt. Ltd.,Normal,No,No,rom__com,No,Yes,No,Abhay Deol,Reema Kagti,Vishal - Shekhar,350,100000000,195160000,1.9516,2007,118,6.1,2411,Reema Kagti,Abhay Deol,Minissha Lamba,Boman Irani
Dishoom,Normal,No,No,action,No,No,No,John Abraham,Rohit Dhawan,Pritam,3000,610000000,1187630000,1.946934426,2016,124,5.1,7100,Rohit Dhawan,John Abraham,Varun Dhawan,Jacqueline Fernandez
Madras Cafe,Normal,No,No,thriller,No,No,No,John Abraham,Shoojit Sircar,Shantanu Moitra,1050,350000000,675640000,1.9304,2013,130,7.7,23388,Shoojit Sircar,John Abraham,Nargis Fakhri,Raashi Khanna
Parineeta,Normal,No,No,drama,No,Yes,No,Saif Ali Khan,Pradeep Sarkar,Shantanu Moitra,325,170000000,326325000,1.919558824,2005,130,7.2,8867,Pradeep Sarkar,Vidya Balan,Saif Ali Khan,Sanjay Dutt
Main Tera Hero,Normal,No,No,comedy,No,No,No,Varun Dhawan,David Dhawan,Sajid - Wajid,2400,410000000,784522500,1.913469512,2014,128,5.1,8139,David Dhawan,Varun Dhawan,Ileana D'Cruz,Nargis Fakhri
Highway,Holiday,No,No,drama,No,No,No,Randeep Hooda,Imtiaz Ali,A.R. Rehman,750,250000000,477065000,1.90826,2014,133,7.6,27168,Imtiaz Ali,Alia Bhatt,Randeep Hooda,Durgesh Kumar
Sins,Normal,No,No,drama,Yes,Yes,Yes,Shiney Ahuja,Vinod Pande,Sanjoy Chowdhary,50,12500000,23800000,1.904,2005,138,4.2,387,Vinod Pande,Vinod Pande,Gauri Shankar,Shiney Ahuja
Rock On!!,Normal,No,No,drama,Yes,No,No,Farhan Akhtar,Abhishek Kapoor,Shankar - Ehsaan - Loy,400,190000000,360937500,1.899671053,2008,145,7.7,21178,Abhishek Kapoor,Arjun Rampal,Farhan Akhtar,Luke Kenny
Pyaar Ke Side Effects,Normal,No,No,comedy,No,Yes,No,Rahul Bose,Saket Chaudhary,Pritam,225,65000000,121890000,1.875230769,2006,132,6.7,3038,Saket Chaudhary,Rahul Bose,Mallika Sherawat,Ranvir Shorey
Murder 3,Holiday,No,Yes,thriller,No,Yes,No,Randeep Hooda,Vishesh Bhatt,Pritam,1400,150000000,277525000,1.850166667,2013,124,4.9,2423,Vishesh Bhatt,Randeep Hooda,Aditi Rao Hydari,Sara Loren
Bewafaa,Normal,No,No,love_story,No,No,No,Akshay Kumar,Dharmesh Darshan,Nadeem - Shravan,450,180000000,331830000,1.8435,2005,151,4.4,2393,Dharmesh Darshan,Anil Kapoor,Akshay Kumar,Kareena Kapoor
Jai Ho,Holiday,No,No,action,No,No,No,Salman Khan,Sohail Khan,Sajid - Wajid,3700,1020000000,1862120000,1.825607843,2014,135,5.1,18411,Sohail Khan,Salman Khan,Daisy Shah,Tabu
Hate Story,Normal,No,No,thriller,Yes,No,Yes,Paoli Dam,Vivek Agnihotri,Harshit Saxena,1100,90000000,164300000,1.825555556,2012,140,5.3,3493,Vivek Agnihotri,Nikhil Dwivedi,Gulshan Devaiah,Paoli Dam
Mere Baap Pehle Aap,Normal,Yes,No,comedy,No,No,No,Akshaye Khanna,Priyadarshan,Vidyasagar,800,200000000,362380000,1.8119,2008,163,5.4,2058,Priyadarshan,Akshaye Khanna,Paresh Rawal,Genelia D'Souza
Jhoom Barabar Jhoom,Normal,No,No,rom__com,No,No,No,Abhishek Bachchan,Shaad Ali,Shankar - Ehsaan - Loy,950,270000000,485250000,1.797222222,2007,138,3.7,3043,Shaad Ali,Abhishek Bachchan,Preity Zinta,Bobby Deol
Khatta Meetha,Normal,Yes,No,comedy,No,No,No,Akshay Kumar,Priyadarshan,Pritam,1450,350000000,627920000,1.794057143,2010,157,5.7,9891,Priyadarshan,Akshay Kumar,Trisha Krishnan,Kulbhushan Kharbanda
Krazzy 4,Holiday,No,No,comedy,No,Yes,No,Arshad Warsi,Jaideep Sen,Rajesh Roshan,800,180000000,322780000,1.793222222,2008,110,4.2,2028,Jaideep Sen,Juhi Chawla,Irrfan Khan,Arshad Warsi
Wanted,Holiday,Yes,No,action,No,Yes,No,Salman Khan,Prabhu Deva,Sajid - Wajid,1400,520000000,932300000,1.792884615,2009,147,6.6,22173,Prabhu Deva,Salman Khan,Ayesha Takia,Vinod Khanna
Saheb Biwi Aur Gangster,Holiday,No,No,thriller,No,No,Yes,Mahie Gill,Tigmanshu Dhulia,Ankit Tiwari,525,60000000,107550000,1.7925,2011,118,7.2,4028,Tigmanshu Dhulia,Jimmy Sheirgill,Mahie Gill,Randeep Hooda
Mithya,Holiday,No,No,comedy,No,No,No,Ranvir Shorey,Rajat Kapoor,Sagar Desai,200,40000000,71700000,1.7925,2008,110,7.1,1934,Rajat Kapoor,Ranvir Shorey,Neha Dhupia,Naseeruddin Shah
Kaminey,Holiday,No,No,drama,No,No,No,Shahid Kapoor,Vishal Bhardwaj,Vishal Bhardwaj,1250,400000000,715650000,1.789125,2009,130,7.4,16640,Vishal Bhardwaj,Shahid Kapoor,Priyanka Chopra Jonas,Deb Mukherjee
Kabul Express,Normal,No,No,drama,No,Yes,Yes,John Abraham,Kabir Khan,Raghav Sachar,275,120000000,214025000,1.783541667,2006,105,6.8,3181,Kabir Khan,John Abraham,Arshad Warsi,Salman Shahid
Drishyam,Normal,Yes,No,thriller,No,No,No,Ajay Devgn,Nishikant Kamat,Vishal Bhardwaj,2250,620000000,1104260000,1.781064516,2015,163,8.2,74326,Nishikant Kamat,Ajay Devgn,Shriya Saran,Tabu
Black,Normal,No,No,drama,No,No,No,Amitabh Bachchan,Sanjay Leela Bhansali,Monty Sharma,235,230000000,409370000,1.779869565,2005,122,8.2,33782,Sanjay Leela Bhansali,Amitabh Bachchan,Rani Mukerji,Shernaz Patel
Finding Fanny,Normal,No,No,drama,No,No,No,Deepika Padukone,Homi Adajania,Mathias Duplessy,875,290000000,512810000,1.768310345,2014,102,5.7,6225,Homi Adajania,Deepika Padukone,Arjun Kapoor,Naseeruddin Shah
Dishkiyaoon,Holiday,No,No,thriller,No,Yes,No,Harman Baweja,Sanamjit Talwar,Sneha Khanwalkar,1550,39000000,68872500,1.765961538,2014,119,5.2,986,Sanamjit Singh Talwar,Harman Baweja,Harsh Chhaya,Sunny Deol
Billu,Holiday,Yes,No,comedy,No,No,No,Irrfan Khan,Priyadarshan,Pritam,1050,270000000,474512500,1.757453704,2009,137,6.2,11078,Priyadarshan,Irrfan Khan,Lara Dutta,Om Puri
Pyaar Ka Punchnama,Normal,No,No,rom__com,Yes,Yes,Yes,Kartik Aryan,Luv Ranjan,Clinton Cerejo,550,97500000,170300000,1.746666667,2011,149,7.6,20388,Luv Ranjan,Kartik Aaryan,Raayo S. Bakhirta,Divyendu Sharma
Dil Dhadakne Do,Normal,No,No,drama,No,No,No,Ranveer Singh,Zoya Akhtar,Shankar - Ehsaan - Loy,2300,830000000,1447987500,1.744563253,2015,170,6.9,15722,Zoya Akhtar,Anil Kapoor,Shefali Shah,Priyanka Chopra Jonas
Kaabil,Holiday,No,No,thriller,No,No,No,Hrithik Roshan,Sanjay Gupta,Rajesh Roshan,2550,890000000,1545140000,1.73611236,2017,139,7.1,24942,Sanjay Gupta,Hrithik Roshan,Yami Gautam,Ronit Roy
Gabbar Is Back,Holiday,Yes,No,action,No,Yes,No,Akshay Kumar,Krish,Chirantan Bhatt,3100,790000000,1358120000,1.719139241,2015,128,7.1,23209,Radha Krishna Jagarlamudi,Akshay Kumar,Shruti Haasan,Kareena Kapoor
Race 2,Holiday,No,Yes,thriller,No,No,No,Saif Ali Khan,Abbas - Mustan,Pritam,3200,940000000,1615375000,1.718484043,2013,150,5.4,15574,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Saif Ali Khan,Anil Kapoor
R... Rajkumar,Normal,No,No,action,No,No,No,Shahid Kapoor,Prabhu Deva,Pritam,2350,580000000,995735000,1.716784483,2013,146,5.2,5552,Prabhu Deva,Shahid Kapoor,Sonakshi Sinha,Sonu Sood
Anjaana Anjaani,Holiday,No,No,rom__com,No,No,No,Ranbir Kapoor,Siddharth Anand,Vishal - Shekhar,1250,400000000,684875000,1.7121875,2010,151,5.8,6416,Siddharth Anand,Priyanka Chopra Jonas,Aubrey K. Miller,Ranbir Kapoor
B.A. Pass,Holiday,No,No,adult,No,Yes,Yes,Dibyendu Bhattacharya,Ajay Bahl,Alokananda Dasgupta,600,67500000,114600000,1.697777778,2012,95,6.4,3702,Ajay Bahl,Shadab Kamal,Shilpa Shukla,Dibyendu Bhattacharya
Naam Shabana,Normal,No,Yes,thriller,No,No,No,Taapsee Pannu,Shivam Nair,Rochak Kohli,2000,330000000,559900000,1.696666667,2017,147,6.3,5924,Shivam Nair,Taapsee Pannu,Akshay Kumar,Manoj Bajpayee
Stanley Ka Dabba,Normal,No,No,drama,Yes,Yes,Yes,Partho A. Gupte,Amol Gupte,Hitesh Sonik,250,45000000,76300000,1.695555556,2011,96,7.8,6493,Amole Gupte,Partho A. Gupte,Numaan Sheikh,Abhishek Reddy
Kahaani 2,Normal,No,Yes,thriller,No,No,Yes,Vidya Balan,Sujoy Ghosh,Clinton Cerejo,1250,330000000,559400000,1.695151515,2016,127,6.6,5159,Sujoy Ghosh,Vidya Balan,Arjun Rampal,Jugal Hansraj
Bang Bang,Holiday,Yes,No,action,No,No,No,Hrithik Roshan,Siddharth Anand,Vishal - Shekhar,3250,1600000000,2706912500,1.691820313,2014,153,5.6,22436,Siddharth Anand,Hrithik Roshan,Katrina Kaif,Pawan Malhotra
Shootout At Wadala,Normal,No,Yes,action,No,No,No,John Abraham,Sanjay Gupta,Anand Raj Anand,2200,490000000,825542500,1.684780612,2013,155,5.9,6439,Sanjay Gupta,Anil Kapoor,John Abraham,Manoj Bajpayee
Lafangey Parindey,Holiday,No,No,drama,No,No,Yes,Neil Nitin Mukesh,Pradeep Sarkar,R. Anandh,950,190000000,319925000,1.683815789,2010,126,5.2,2027,Pradeep Sarkar,Neil Nitin Mukesh,Deepika Padukone,Vijay Adhav
Ishqiya,Normal,No,No,rom__com,No,Yes,No,Naseeruddin Shah,Abhishek Chaubey,Vishal Bhardwaj,600,190000000,318150000,1.674473684,2010,118,7.3,10075,Abhishek Chaubey,Vidya Balan,Naseeruddin Shah,Arshad Warsi
Sachin - A Billion Dreams,Normal,No,No,documentary,Yes,Yes,No,Sachin Tendulkar,James Erskine,A.R. Rehman,1950,390000000,649515000,1.665423077,2017,138,8.6,7711,James Erskine,Sachin Tendulkar,Mikhail Gandhi,Anjali Tendulkar
Tashan,Normal,No,No,action,No,Yes,No,Akshay Kumar,Vijay Krishna Acharya,Vishal - Shekhar,950,310000000,516200000,1.66516129,2008,120,3.9,5037,Vijay Krishna Acharya,Akshay Kumar,Saif Ali Khan,Kareena Kapoor
Baby,Holiday,No,No,thriller,No,No,No,Akshay Kumar,Neeraj Pandey,Meet Bros,2450,750000000,1248440000,1.664586667,2015,159,8,53997,Neeraj Pandey,Akshay Kumar,Danny Denzongpa,Rana Daggubati
Dhol,Normal,Yes,No,comedy,No,No,No,Tusshar Kapoor,Priyadarshan,Pritam,650,140000000,232775000,1.662678571,2007,145,6.3,5501,Priyadarshan,Aman Ullah,Sharman Joshi,Tusshar Kapoor
Dum Maaro Dum,Holiday,No,No,thriller,No,No,No,Abhishek Bachchan,Rohan Sippy,Pritam,1350,310000000,511940000,1.651419355,2011,128,6.2,3860,Rohan Sippy,Abhishek Bachchan,Deepika Padukone,Bipasha Basu
