Movie Name,Release Period,Whether Remake,Whether Franchise,Genre,New Actor,New Director,New Music Director,Lead Star,Director,Music Director,Number of Screens,Budget(INR),Revenue(INR),ProfitFactor,Year,Duration,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Rowdy Rathore,Holiday,Yes,No,action,No,No,No,Akshay Kumar,Prabhu Deva,Sajid - Wajid,2800,770000000,1984775000,2.57762987,2012,140,5.7,21097,Prabhu Deva,Akshay Kumar,Sonakshi Sinha,Nassar
Life In A Metro,Normal,No,No,drama,No,No,No,Irrfan Khan,Anurag Basu,Pritam,225,95000000,244535000,2.574052632,2007,132,7.4,11346,Anurag Basu,Dharmendra,Irrfan Khan,Konkona Sen Sharma
Tumhari Sulu,Normal,No,No,drama,No,Yes,Yes,Vidya Balan,Suresh Triveni,Santanu Ghatak,1200,200000000,513900000,2.5695,2017,150,7,4761,Suresh Triveni,Vidya Balan,Manav Kaul,Neha Dhupia
Kalyug,Normal,No,No,drama,Yes,Yes,No,Kunal Khemu,Mohit Suri,Anu Malik,225,40000000,102622000,2.56555,2005,126,6.5,2566,Mohit Suri,Kunal Khemu,Deepal Shaw,Smiley Suri
Shootout At Lokhandwala,Normal,No,No,action,No,No,Yes,Vivek Oberoi,Apoorva Lakhia,Strings,800,180000000,460430000,2.557944444,2007,122,7.1,9607,Apoorva Lakhia,Amitabh Bachchan,Sanjay Dutt,Sunil Shetty
Zindagi Na Milegi Dobara,Normal,No,No,drama,No,No,No,Hrithik Roshan,Zoya Akhtar,Shankar - Ehsaan - Loy,1400,600000000,1531610000,2.552683333,2011,155,8.2,70344,Zoya Akhtar,Hrithik Roshan,Farhan Akhtar,Abhay Deol
Kaal,Holiday,No,No,thriller,No,Yes,No,Ajay Devgn,Soham Shah,Salim - Sulaiman,450,130000000,331175000,2.5475,2005,126,4.6,5039,Soham Shah,Ajay Devgn,Vivek Oberoi,John Abraham
Kick,Holiday,Yes,No,action,No,Yes,No,Salman Khan,Sajid Nadiadwala,Honey Singh,3800,1400000000,3518000000,2.512857143,2014,146,5.3,26761,Sajid Nadiadwala,Salman Khan,Jacqueline Fernandez,Nawazuddin Siddiqui
Yaariyan,Normal,No,No,love_story,Yes,Yes,No,Himansh Kohli,Divya Khosla,Honey Singh,1400,210000000,524050000,2.49547619,2014,145,2.7,3187,Divya Khosla Kumar,Himansh Kohli,Rakul Preet Singh,Nicole Faria
Iqbal,Holiday,No,No,drama,No,No,No,Shreyas Talpade,Nagesh Kukunoor,Salim - Sulaiman,70,22500000,56068750,2.491944444,2005,132,8.1,16185,Nagesh Kukunoor,Shreyas Talpade,Naseeruddin Shah,Shweta Basu Prasad
